OtherPerCap,PctKids2Par,ViolentCrimesPerPop
0.31,0.25,10
0.05,0.48,1
0.29,0.47,1
0.08,0.58,1
0.69,0.55,4
0.25,0.72,1
0.68,0.92,1
0,0.62,0
0.19,0.7,1
0.24,0.91,0
0.84,0.24,10
1,0.52,2
0.15,0.72,1
0.53,0.61,2
0.21,0.51,5
0,0.94,0
0.22,0.67,2
0.26,0.65,2
0,0.68,1
0,0.66,1
0.36,0.84,0
0.39,0.58,1
0.39,0.84,1
0.17,0.55,3
0.15,0.21,8
0.17,0.73,2
0.33,0.4,1
0.32,0.86,0
0.03,0.81,0
0.33,0.53,1
0.16,0.53,2
0.57,0.86,1
0.54,0.73,0
0.21,0,10
0.46,0.68,2
0.03,0.89,0
0.25,0.78,1
1,0.76,0
0.39,0.74,1
0,0.96,0
0.22,0.63,3
0.09,0.64,1
0.68,0.72,1
0,0.26,3
0.34,0.82,0
0.17,0.64,2
0.39,0.68,2
0.3,0.73,1
0.37,0.76,1
0.42,0.79,0
0.67,0.87,2
0.25,0.61,3
0.31,0.67,1
0.21,0.55,2
0.34,0.56,2
0.37,0.77,1
0.23,0.49,10
0.32,0.56,1
0.13,0.44,4
0.37,0.66,2
0,0.91,1
0.3,0.9,1
0,0.88,0
0.25,0.21,7
0.26,0.7,1
0.38,0.88,1
0.46,0.9,1
0.21,0.92,0
0.33,0.81,1
0.28,0.67,2
0.14,0.49,3
0.02,0.8,1
0.28,0.76,2
0.27,0.38,10
0,0.73,0
0.23,0.19,10
0.24,0.57,7
0,0.22,6
0.23,0.57,2
0.22,0.62,1
0.36,0.67,2
0.17,0.72,1
0.32,0.49,2
0.24,0.8,1
0.07,0.34,5
0,0.72,1
0.01,0.82,0
0,0.49,3
0.19,0.88,1
0.33,0.44,3
0.22,0.42,3
0.27,0.42,2
0.15,0.48,5
1,0.83,2
0.29,0.51,0
0.24,0.72,3
0.38,0.8,1
0.08,0.58,1
0.42,0.82,1
0.21,0.12,10
0.39,0.89,1
0.48,0.86,1
0,0.63,2
0.22,0.6,2
0.37,0.69,2
0,0.55,3
0.22,0.23,9
0,0.89,0
0.9,0.81,1
0.02,0.83,1
0.29,0.85,0
0.25,0.39,3
0.2,0,10
0.26,0.23,8
0.25,0.46,8
0.34,0.82,1
0.2,0.4,3
0.37,0.76,1
0.63,0.75,1
0.31,0.76,1
0.33,0.81,1
0.28,0.64,2
0.45,0.57,2
0.13,0.63,0
0.27,0.28,10
0.55,0.96,0
0.31,0.66,1
0.32,0.64,2
0.34,0.56,2
0.43,0.59,2
0.59,0.85,1
0.37,0.9,0
0.75,0.9,0
0.36,0.59,7
0.17,0.49,1
0.36,0.49,2
0.24,0.59,2
0.28,0.63,2
0.3,0.49,2
0.39,0.5,2
0.19,0.46,3
0,0.49,2
0.16,0.59,2
0.27,0.69,1
0.28,0.73,1
0.31,0.43,1
0.54,0.96,0
0,0.62,1
0.13,0.51,5
0.26,0.69,4
0.34,0.51,2
0.03,0.95,0
0.37,0.7,2
0.37,0.8,1
0.26,0.97,0
0.19,0.47,1
0.35,0.52,1
0.28,0.5,2
0.26,0.57,5
0.41,0.68,2
0.33,0.83,1
0.48,0.8,2
0.3,0.75,0
0.25,0.76,2
0,0.53,2
0.43,0.59,4
0.18,0.5,3
0,0.94,0
0.17,0.77,1
0.25,0.49,5
0.44,0.92,0
0.24,0.52,4
0.35,0.27,6
0.53,0.92,0
0,0.12,10
0.46,0.66,2
0.43,0.77,2
0,0.07,3
0.28,0.44,4
0.54,0.78,2
0.76,0.81,1
0.61,0.15,6
0.25,0.18,6
0.09,0.76,1
NaN,0.2,2
0.11,0.39,3
0,0.94,0
0.18,0.64,3
0.28,0.42,7
0.22,0.27,10
0.28,0.4,5
0.27,0.73,2
0.47,0.35,2
0.2,0.47,4
0.23,0.34,4
0.2,0.5,4
0.49,0.9,0
0,0.62,1
0.2,0.65,1
0.24,0.62,2
0.22,0.05,9
0,0.6,1
0.02,0.89,0
0.2,0.44,7
0.19,0.67,1
0.08,0.71,1
0.06,0.59,2
0.17,0.21,10
0.42,0.64,1
0.69,0.9,1
0.22,0.74,2
0.26,0,10
0.31,0.94,0
0.16,0.91,0
0.02,0.84,0
0.22,0.6,2
0.13,0.22,4
0.29,0.55,5
0.14,0.82,1
0.24,0.73,2
0.12,0.55,1
0.3,0.56,3
0.02,0.76,1
0.31,0.73,2
0.18,0.67,2
0.31,0.82,0
0.38,0.74,1
0.53,0.75,1
0.31,0.56,1
1,0.95,0
0.25,0.77,1
0.14,0.52,1
0.34,0.78,1
0.22,0.4,7
0.44,0.68,4
0.25,0.67,1
0.23,0.53,4
0.43,0.85,1
0.21,0.53,5
0.27,0.83,3
0.47,0.6,1
0,0.59,1
0.34,0.72,2
0.61,0.71,1
0.17,0.35,2
0.37,0.86,0
0.13,0.45,2
0.41,0.97,0
0.28,0.71,1
0.18,0.67,1
0.23,0.66,3
0.36,0.86,1
0.17,0.03,6
0.16,0.56,3
0,0.41,3
0.34,0.86,1
0.22,0.4,2
0.25,0.74,1
0.02,0.54,2
0.25,0.31,6
0,0.69,1
0.41,0.85,0
0.26,0.58,4
0.07,0.45,6
0.38,0.32,6
0.17,0.02,10
0.2,0.55,2
0.22,0.59,1
0.34,0.85,0
0.26,0.7,3
0.29,0.49,7
0.14,0.51,2
1,0.99,0
0.5,0.8,1
0.41,0.65,4
0.25,0.63,3
0.41,0.85,1
0.26,0.59,1
0.03,0.34,4
0.31,0.72,1
0.32,0.25,7
0.49,0.45,3
0.16,0.13,7
0.26,0.3,2
0.21,0.49,3
0.04,0.72,0
0.18,0.59,1
0.27,0.7,1
0.15,0.46,1
0.3,0.58,4
0,0.8,1
0.5,0.82,1
0.25,0.49,2
0.21,0.75,1
0.25,0.38,8
0.37,0.55,2
0,0.4,2
0.56,0.8,1
1,0.31,6
0.28,0.71,2
0.5,0.79,1
0.66,0.94,0
0.18,0.41,4
0.23,0.1,7
0.33,0.61,2
0,0.92,0
0.41,0.68,2
0.31,0.58,4
0.12,0.39,4
0.28,0.69,1
0.24,0.59,5
0.32,0.43,2
0.45,0.78,1
0.16,0.47,3
0.34,0.81,1
0.17,0.41,3
0.99,0.72,1
0.2,0.68,2
0.29,0.6,2
0.38,0.77,2
0.75,0.71,1
0.26,0.5,2
0,0.95,0
0.23,0.37,6
0.19,0.51,3
0.28,0.51,3
0.09,0.76,0
0.23,0.52,1
0.36,0.61,6
0.22,0.44,4
0.32,0.88,1
0.13,0.56,1
0.23,0.62,2
0.5,0.9,2
0.21,0.89,0
0.82,0.81,1
0.39,0.93,0
0.66,0.62,2
0.29,0.34,7
0.66,0.83,0
0.32,0.82,1
0.34,0.62,2
0.19,0.81,1
0.14,0.43,1
0.17,0.62,0
0.34,0.74,1
0.38,0.88,1
0.41,0.29,6
0.47,0.42,6
0.43,0.22,4
0.19,0.64,0
0.2,0.76,1
0.22,0.57,2
0.24,0.46,3
0.28,0.69,0
0.21,0.45,5
0.3,0.68,1
0.16,0.49,2
0.57,0.83,2
0.19,0.42,3
0.14,0.58,1
0.21,0.78,1
0.47,0.51,2
0.27,0.65,2
0.16,0.6,4
0.14,0.47,2
0.32,0.46,8
0.41,0.68,1
0.43,0.74,3
0.11,0.81,1
0.21,0.62,1
0.24,0.67,2
0.1,0.56,2
0.25,0.67,1
0.4,0.65,0
0.28,0.69,2
0.17,0.72,0
0.49,0.9,0
0.41,0.66,1
0.2,0.65,1
0.2,0.67,2
0.6,0.75,0
0.42,0.9,0
0.15,0.33,4
0.3,0.24,5
0.23,0.49,5
0,0.43,1
0.32,0.24,5
0.19,0.52,7
0.21,0.59,3
0.16,0.49,2
0.28,0.18,7
0.32,0.64,3
0.23,0.47,4
0.16,0.41,2
0.05,0.91,1
1,0.89,1
0.38,0.65,1
0.61,0.93,0
0.14,0.53,2
0,0.93,0
0.67,0.8,0
0.37,0.84,1
0.38,0.54,4
0.38,0.71,2
0.25,0.86,1
0.34,0.92,1
0.18,0.68,2
0.19,0.5,1
0.18,0.56,2
0.15,0.56,1
0.1,0.52,1
0.92,0.92,1
0.2,0.77,1
0.22,0.63,3
0.47,0.75,0
0.19,0.23,7
0.85,0.67,3
0.14,0.05,8
0.34,0.86,0
0.17,0.49,2
0.24,0.27,7
0.26,0.56,2
0.27,0.75,1
0.22,0.39,3
0.13,0.48,5
0.31,0.74,1
0.05,0.31,4
0.35,0.72,1
0.32,0.48,6
0.42,0.73,0
0.24,0.24,8
0.15,0.37,1
0.39,0.18,10
0.21,0.65,2
0.13,0.68,2
0.18,0.43,6
0.2,0.07,8
0.11,0.66,0
0.18,0.57,1
0.19,0.39,6
0.38,0.67,1
0.19,0.58,1
0.28,0.59,3
0.2,0.62,5
0.17,0.54,3
0.47,0.77,1
0.27,0.72,1
0.16,0.29,5
0.14,0.3,5
0.26,0.35,5
0,0.91,0
0.18,0.56,2
0.1,0.61,1
0.32,0.67,2
0.21,0.82,1
0.2,0.39,7
0.23,0.51,5
0.72,0.73,2
0.58,0.78,2
0.35,0.66,4
0.34,0.85,0
0.41,0.56,3
0.17,0.54,2
0.3,0.71,3
0.16,0.62,1
0.01,0.98,0
0.16,0.5,1
0.46,0.76,1
0.1,0.63,1
0.31,0.59,1
0.19,0.43,3
0.16,0,10
0.24,0.07,9
0.3,0.56,3
0.28,0.84,1
0.26,0.52,1
0.71,0.92,0
0.28,0.47,5
0.23,0.29,3
0.5,0.49,1
0.25,0.33,5
0.26,0.58,3
0,0.31,8
0.77,0.35,2
0,0.18,3
0,0.61,2
0.5,0.68,2
0.32,0.71,1
0.08,0.82,0
0.36,0.6,3
0,0.62,2
0.12,0.75,1
0.21,0.51,1
0.62,0.8,0
0.45,0.76,2
0.04,0.61,1
0.67,0.87,0
1,0.24,9
0,0.81,1
0.31,0.41,5
0.41,0.64,2
0.42,0.86,1
0.2,0.25,4
0.11,0.7,1
0,0.17,5
0.45,0.76,1
0.13,0.67,1
0.19,0.55,1
0.45,0.84,1
0,0.75,1
0.19,0.65,0
0.24,0.86,1
0.7,0.89,1
0.29,0.69,2
0.33,0.66,1
0.3,0.44,5
0.16,0.77,1
0.29,0.66,1
0.31,0.57,3
0.02,0.46,4
0.36,0.87,0
0.23,0.72,0
0.1,0.74,1
0.34,0.88,2
0.13,0.83,1
0.24,0.48,5
0.45,0.63,1
0.26,0.64,4
0.21,0.74,2
0.38,0.3,3
0.42,0.73,1
0.24,0.35,6
0.09,0.49,1
0.32,0.76,2
0.35,0.41,6
0.87,0.58,2
0.47,0.73,1
0.3,0.71,2
0.36,0.68,1
1,0.48,1
0.2,0.67,5
0.49,0.71,4
1,0.96,0
0.14,0.45,4
0.19,0.37,4
0.24,0.51,2
0.18,0.64,1
0.2,0.22,4
0.1,0.56,0
0.13,0.68,1
0.22,0.41,1
0,0.6,1
0.27,0.36,10
0.37,0.68,3
0.24,0.71,3
0.16,0.68,1
0.16,0.21,6
0.23,0.6,4
0.22,0.39,4
0.42,0.87,0
0.26,0.71,1
0.19,0.5,3
0.14,0.55,1
0.41,0.72,3
0.61,0.78,0
0.22,0.57,2
0.3,0.84,2
0.01,0.66,3
0.16,0.62,2
0.27,0.6,4
0.23,0.41,2
0.28,0.47,8
0.46,0.81,1
0.25,0.67,2
0.18,0.61,1
0.36,0.59,2
0.21,0.63,1
0.26,0.72,1
0.25,0.23,10
0.38,0.61,3
0.26,0.66,3
0.36,0.94,0
0.16,0.65,1
0.36,0.56,2
0.12,0.48,2
0,0.44,5
0.3,0.37,5
0.38,0.74,2
0.15,0.63,1
0.36,0.66,2
0.32,0.8,1
0,0.76,1
0.33,0.41,3
0.19,0.33,9
0.31,0.78,0
0.3,0.14,2
0,0.66,1
0.18,0.64,1
0.41,0.48,2
0.32,0.79,0
0.08,0.31,6
0.34,0.79,1
0.25,0.59,2
0.43,0.72,0
0.52,0.82,0
0.24,0.23,2
0,0.17,3
0,0.81,0
0.16,0.49,5
0.25,0.59,2
0.14,0.71,2
0.35,0.65,3
0.5,0.96,0
0.23,0.33,6
0,0.62,2
0.32,0.76,2
0.46,0.76,2
0.36,0.76,1
0.27,0.89,1
0.16,0.49,2
0,0.56,2
0.23,0.25,8
0.16,0.4,5
0.33,0.56,6
0.74,0.42,5
0.28,0.69,1
0.16,0.33,6
0.02,0.54,2
0.17,0.82,1
0.32,0.51,4
0.2,0.58,2
0.32,0.72,2
0.28,0.67,0
0.34,0.57,4
0.24,0.13,6
0.17,0.52,3
0.2,0.51,6
0.48,0.83,1
0.17,0.19,10
0.38,0.76,1
0.26,0.69,5
0.26,0.53,1
0.35,0.87,1
0.22,0.92,1
0.63,0.69,3
0.31,0.4,5
0.14,0.58,4
0.16,0.51,3
0.21,0.38,3
0.25,0.46,3
0.27,0.45,4
0.04,0.9,0
0,0.96,0
1,0.71,3
0.16,0.38,7
0,0.62,4
1,0.77,1
0,0.74,1
0.35,0.83,1
0.41,0.53,2
0.34,0.53,2
0.28,0.58,4
0,0.27,2
0.12,0.52,1
0.19,0.54,5
0.22,0.68,1
0.19,0.76,1
0.37,0.88,1
0.26,0.59,2
0.21,0.68,1
0.34,0.77,1
0.4,0.73,1
0.11,0.53,3
0.25,0,9
0.14,0.81,0
0.24,0.53,3
0,0.22,2
0.34,0.53,2
0.37,0.43,8
0.33,0.62,2
0.28,0.54,4
0.13,0.92,1
0.44,0.88,0
0.09,0.74,1
0.26,0.37,5
0.25,0.79,2
0.29,0.66,1
0,0.82,2
0.29,0.69,2
0.68,0.91,0
0.19,0.46,4
0,0.89,0
0.47,0.49,3
0.27,0.41,5
0.26,0.68,2
0.29,0.53,5
0.23,0.78,2
0.25,0.54,2
0.35,0.64,2
0.25,0.57,2
0.29,0.36,4
0.2,0.39,7
0.72,0.9,0
0.34,0.76,1
0.24,0.49,4
0.46,0.84,1
0.06,0.56,1
0.3,0.21,7
0.3,0.93,0
0,0.5,1
0.42,0.73,1
0.18,0.53,5
0.64,0.82,1
0.22,0.5,2
0.3,0.82,1
0.02,0,10
0.18,0.45,3
1,0.82,1
0.14,0.59,3
0.05,0.41,3
0,0.22,4
0.59,0.91,0
0.41,0.95,1
0.33,0.62,1
0.12,0.53,1
0.31,0.1,9
0.29,0.58,3
0.3,0.58,1
0.24,0.54,2
0.17,0.12,10
0.17,0.56,3
0.08,0.55,0
0.39,0.61,3
0,0.41,2
0.2,0.71,1
0.34,0.75,1
0.47,0.71,1
0.29,0.58,3
0.25,0.49,3
0.38,0.81,1
0.23,0.18,4
0.26,0.72,2
0.13,0.51,4
0.26,0.66,3
0.2,0.54,3
0.68,0.78,1
0.22,0.29,9
0.32,0.98,0
0.16,0.67,0
0.21,0.41,1
0.33,0.65,2
0.06,0.51,0
0.13,0.36,2
0.41,0.88,1
0.45,0.8,0
0.31,0.8,0
0.29,0.41,3
0.54,0.9,0
0.06,0.67,4
0.85,0.86,0
0.29,0.91,1
0.43,0.82,1
0.15,0.4,1
0.12,0,10
0.26,0.87,1
0.4,0.89,1
0.19,0.65,1
0.25,0.59,2
0.29,0.81,1
0.31,0.68,2
0.47,0.92,1
0.32,0.94,0
0,0.46,5
0.2,0.61,2
0.21,0.38,5
0.17,0.95,1
0.2,0.49,3
0.08,0.52,6
0.19,0.97,0
0.13,0.5,2
1,0.94,0
0.21,0.55,4
0.22,0.41,5
0.33,0.75,1
0.31,0,10
0.52,0.68,1
0.33,0.6,4
0.08,0.75,0
0,0.76,1
0.23,0.92,0
0.39,0.83,2
0.73,0.26,6
0.25,0.59,5
0,0.17,4
0.38,0.75,0
0.27,0.53,7
0,0.97,0
0.29,0.48,1
0.47,0.76,0
0.26,0.58,5
0.17,0.59,3
0.21,0.54,3
0.42,0.74,1
0.22,0.42,2
0.1,0.63,2
0.24,0.53,5
0.24,0.54,3
0.27,0.5,7
0.81,0.71,0
0.15,0.88,0
0.26,0.49,4
0.29,0.16,10
0.16,0.87,1
1,0.97,0
0.16,0.07,9
0.17,0.29,5
0.22,0.77,1
0.1,0.75,2
0.08,0.85,3
0.26,0.28,10
0,0.51,1
0.29,0.65,1
0.79,0.82,0
0.29,0.71,2
0.23,0.59,3
0.37,0.79,1
0.14,0.33,5
0.11,0.44,10
0.28,0.45,4
0.68,0.84,0
0.32,0.7,3
0.33,0.64,2
0.6,0.19,10
0.27,0.7,1
0.51,0.81,2
0.21,0.6,3
0.31,0.68,1
0.17,0.77,1
0.4,0.8,1
0.09,0.65,1
0.26,0.53,2
0.62,0.7,0
0.5,0.81,0
0.2,0.61,1
0.04,0.45,2
0.2,0.46,4
0.17,0.46,2
0,0.88,1
0.23,0.56,1
0.51,0.48,2
0.13,0.48,1
0.14,0.55,2
0.32,0.63,8
0.34,0.64,3
0.26,0.43,4
0.31,0.87,1
0.4,0.54,10
0.51,0.91,0
0.21,0.29,5
0.24,0.54,1
0.27,0.59,2
0.39,0.34,7
0.33,0.64,0
0.16,0.74,1
0.33,0.88,1
0.14,0.51,3
0.3,0.6,1
0.35,0.65,1
0.08,0.65,0
0.25,0.85,1
0.45,0.83,1
0.26,0.49,8
0.41,0.59,4
0.07,0.87,0
0.02,0.44,2
0.56,0.86,0
0.2,0.24,5
0.22,0.52,7
0.54,0.83,1
0.56,0.86,0
0.44,0.89,1
0.16,0.55,3
0.23,0.21,3
0,0.62,1
0.31,0.66,2
0.28,0.62,2
0.43,0.66,4
0.45,0.73,1
0.29,0.71,5
0.18,0.21,4
0.4,0.68,2
0.15,0.63,1
1,0.78,3
0.33,0.68,1
0.08,0.85,1
0.33,0.81,1
0.22,0.88,1
0.39,0.79,2
0.25,0.48,6
0.18,0.36,4
0.19,0.35,3
0.26,0.88,1
0.01,0.63,1
0.14,0.9,0
0.27,0.34,6
0.31,0.67,1
0.21,0.56,2
0.17,0.46,5
0,0.96,1
0.32,0.77,1
0.11,0.62,1
1,0.96,0
0.18,0.62,1
0.33,0.73,1
0.22,0.54,5
0.31,0.91,1
0.31,0.59,2
0.24,0.49,1
0.17,0.71,2
0.15,0.69,2
0.29,0.72,1
0.36,0.6,0
0.19,0.38,7
0.22,0.48,6
0.41,0.69,3
0.34,0.17,10
0.25,0.28,7
0.24,0.65,1
0.06,0.44,3
0.33,0.78,0
0.22,0.64,1
0.21,0.48,6
0.17,0.38,7
0.16,0.62,1
0.2,0.72,1
0.33,0.69,2
0.18,0.45,3
0.14,0.45,3
0.46,0.81,0
0.21,0.42,5
0.31,0.65,2
0.17,0.54,3
0.16,0.74,1
0.19,0.17,6
0.3,0.26,6
0.09,0,5
0.32,0.76,2
0.28,0.74,1
0.22,0.48,5
0.15,0.51,3
0.21,0.46,2
0.14,0.5,6
0.26,0.65,6
0.22,0.42,4
0.14,0.58,1
0.46,0.81,2
0.09,0.83,1
0.15,0.76,0
0.15,0.62,2
0.5,0.72,1
0.3,0.6,3
0.13,0.74,1
0.26,0.16,10
0,0.81,1
0.21,0.4,4
0.22,0.75,1
0,0.79,1
0.39,0.63,2
0.23,0.49,5
0.53,0.93,0
0.18,0.7,0
0.35,0.9,0
0.19,0.53,6
0.4,0.63,2
0.25,0.58,1
0.29,0.89,1
0.21,0.41,7
0.21,0.68,2
0.39,0.59,2
0.51,0.71,1
0.13,0.3,3
0.37,0.56,4
0.16,0.65,0
0.33,0.86,2
0.48,0.74,0
0.2,0.53,4
0.07,0.45,3
0.25,0.49,2
0.3,0.28,7
0.31,0.82,2
0.3,0.69,2
0.36,0.81,0
0.1,0.76,1
0.41,0.89,0
0.32,0.54,2
0.26,0.65,2
0.18,0.31,2
0.35,0.83,1
0.23,0.5,4
0.3,0.84,0
0.13,0.27,4
0.35,0.88,1
0.12,0.88,0
0.31,0.77,2
0.47,0.81,1
0.16,0.45,3
0.18,0.46,5
0.06,0.44,3
0.31,0.73,5
0.02,0.75,0
0.24,0.81,1
0.17,0.7,1
1,0.98,0
0.24,0.5,3
0,0.54,1
0.24,0.58,4
0.18,0.78,2
0.16,0.46,2
0.21,0.22,2
0.28,0.88,0
0.25,0.23,8
0.28,0.59,2
0.29,0.62,3
0,0.72,0
0.28,0.69,1
0.33,0.86,0
0.13,0.51,7
0.23,0.75,1
0.31,0.5,3
0.63,0.21,10
0,0.79,1
0.31,0.58,2
0.29,0.66,0
0.49,0.93,0
0.15,0.69,1
0,0.65,0
0.1,0.66,2
0.23,0.74,2
0.13,0.53,3
0.21,0.38,5
0.33,0.36,9
0.37,0.72,2
0.06,0.61,0
0.19,0.61,1
0.35,0.68,1
0.27,0.71,1
0.32,0.82,0
0.28,0.85,0
0.45,0.47,5
0.43,0.89,1
0.03,0.87,2
0.07,0.42,3
0,0.93,0
0.19,0.53,4
0.28,0.44,9
0.2,0.43,4
0.25,0.69,1
0.43,0.59,2
0.39,0.92,1
0.01,0.15,6
0.43,0.94,0
0.19,0.61,2
0.22,0.74,3
0.19,0.56,2
0,0.55,0
0.05,0.36,1
0.52,0.19,4
0,0.09,2
0.36,0.54,1
1,0.88,1
0.18,0.73,1
0.26,0.7,2
0.17,0.47,6
0.3,0.85,1
0.16,0.58,2
1,0.38,4
0.01,0.66,1
0.59,0.95,1
0.09,0.32,2
0.25,0.72,3
0,0.71,2
0.27,0.23,8
0.15,0.44,1
0.29,0.7,0
0.26,0.5,2
0.09,0.59,1
0.35,0.92,0
0.58,0.92,1
0.33,0,10
0.29,0.7,3
0.2,0.43,10
0.45,0.91,0
0.22,0.36,10
0.31,0.82,0
0.32,0.32,9
0.27,0.77,1
0.24,0.81,0
0.2,0.52,1
0.53,0.41,10
0.2,0.46,6
0.3,0.61,2
0.32,0.74,1
1,0.94,0
0.21,0.03,6
0.15,0.42,3
0.45,0.79,1
0.18,0.89,0
0.56,0.78,1
0.21,0.7,0
0.28,0.82,0
0.15,0.85,0
0.33,0.71,1
0.22,0.45,2
0.5,0.64,2
0.15,0.84,1
0.2,0.68,2
0.34,0.27,3
0.23,0.74,0
0.24,0.57,5
0.62,0.87,0
0,0.81,0
0.23,0.41,4
0.47,0.55,2
0.31,0.54,1
0.15,0.78,0
0,0.78,1
0.16,0.74,1
0.41,0.82,1
0.35,0.7,1
0.35,0.61,8
0.22,0,10
0.46,0.72,1
0.25,0.58,2
0.27,0.33,8
0.35,0.78,1
0.35,0.91,1
0.84,0.89,1
0.55,0.77,1
0.17,0.39,2
0.37,0.73,2
0.29,0.57,3
0.08,0.21,4
0.21,0.57,10
0.27,0.69,1
0.86,0.74,5
0.08,0.47,1
0.47,0.5,5
0.49,0.87,1
0.22,0.45,2
0.24,0.95,1
0.36,0.07,8
0.2,0.66,0
0.2,0.61,4
0.28,0.46,7
0.15,0.64,1
0.4,0.79,1
0.21,0.43,7
0.77,0.77,1
0.12,0.46,5
0.26,0.77,1
0.23,0.63,5
0.18,0.54,5
0.2,0.76,0
0.64,0.85,1
0.21,0.43,7
0.3,0.59,7
0.23,0.43,3
0.34,0.8,3
0.14,0.62,1
0.55,0.89,1
0.27,0.37,2
0.41,0.55,3
0.39,0.69,2
0.36,0.49,1
0.22,0.69,1
0.35,0.54,2
0.29,0.77,1
0.03,0.66,0
0,0.95,1
0.93,0.89,0
0.24,0.56,4
0.76,0.88,0
0.53,0.6,2
0.09,0.42,1
0.17,0.67,1
0.21,0.44,6
0.73,0.88,0
0.17,0.53,2
0.18,0.48,3
0,0.95,0
0.23,0.38,6
0.34,0.47,2
0,0.82,0
0,0.73,0
0.27,0.26,5
0.65,0.86,1
0.35,0.7,1
0.45,0.74,1
0.48,0.61,1
0.09,0.46,2
0.54,0.77,1
0.33,0.41,2
0.27,0.18,10
0.15,0.56,2
0.23,0.23,4
0.27,0.74,3
0.24,0.72,2
0.08,0.18,9
0.22,0.15,7
0,0.53,4
0.27,0.47,3
0.1,0.38,2
0.59,0.94,0
0.26,0.42,3
0.2,0.91,1
0.31,0.7,0
0.22,0.44,6
0.22,0.12,2
0.44,0.72,2
0.15,0.73,1
0.39,0.88,1
0.3,0.62,2
0.16,0.37,3
0.09,0.53,1
0.09,0.54,3
0.18,0.62,3
0.24,0.57,1
0.28,0.62,2
0.35,0.54,3
0.26,0.78,2
1,0.82,1
0.33,0.57,2
0.48,0.69,1
0.35,0.76,3
0.99,0.6,0
0.36,0.58,1
0.36,0.71,0
0.33,0.55,2
0.24,0.63,1
0.33,0.59,1
0.92,0.94,1
0.28,0.68,2
0.13,0.69,1
0.36,0.54,1
0.38,0.83,0
0.18,0.67,2
0.19,0.8,1
0.22,0.63,0
0.13,0.53,5
